Year,Count
1998,2264
1999,1783
2000,2073
2001,2287
2002,2164
2003,2585
2004,3134
2005,3876
2006,4271
2007,4474
2008,4744
2009,5941
2010,6653
2011,7871
2012,8350
2013,11046
2014,13705
2015,19876
2016,28171
2017,35907
