year,AI,Rob,IoT,total
1998,30,69,NaN,99
1999,23,49,NaN,72
2000,33,63,NaN,96
2001,40,63,NaN,103
2002,20,83,NaN,103
2003,40,128,NaN,168
2004,45,99,NaN,144
2005,58,105,NaN,163
2006,39,106,NaN,145
2007,52,140,NaN,192
2008,41,127,NaN,168
2009,49,156,NaN,205
2010,52,128,NaN,180
2011,51,158,NaN,209
2012,53,166,NaN,219
2013,46,180,1,227
2014,47,205,8,260
2015,56,266,45,367
2016,67,287,97,451
2017,137,267,197,601
