year,AI,Rob,IoT
1998,198,246,NaN
1999,161,186,NaN
2000,156,242,NaN
2001,187,268,NaN
2002,176,267,NaN
2003,217,316,NaN
2004,201,457,1
2005,236,596,NaN
2006,275,617,3
2007,295,626,3
2008,320,627,10
2009,448,723,33
2010,397,835,99
2011,386,889,272
2012,406,834,404
2013,441,1051,616
2014,552,1093,954
2015,660,1209,1843
2016,760,1419,3030
2017,942,1430,4103
