Year,Count
1998,3441
1999,2805
2000,3543
2001,3708
2002,4251
2003,7881
2004,6896
2005,7716
2006,6626
2007,8720
2008,7870
2009,9948
2010,8459
2011,10072
2012,11318
2013,11831
2014,14392
2015,20960
2016,25256
2017,33869
