Year,Count
1998,98
1999,70
2000,93
2001,99
2002,99
2003,162
2004,139
2005,156
2006,139
2007,184
2008,157
2009,199
2010,175
2011,199
2012,207
2013,220
2014,253
2015,357
2016,441
2017,574
