y,amount
1998,2800002.068
1999,8488701.536
2000,14384245.15
2001,19232495.97
2002,22887212.64
2003,31236495.57
2004,39879906.45
2005,46239302.83
2006,52460327.73
2007,59382445.79
2008,69414813.57
2009,75746252.38
2010,85185971.15
2011,92940402.27
2012,99498917.28
2013,104490789.5
2014,116976628
2015,128391559.4
2016,162318609.7
2017,204847151.8
