Year,Count
1998,438
1999,346
2000,396
2001,452
2002,442
2003,527
2004,655
2005,821
2006,884
2007,916
2008,948
2009,1192
2010,1317
2011,1526
2012,1635
2013,2095
2014,2571
2015,3680
2016,5164
2017,6420
