year,AI,Rob,IoT,total
1998,3714,2186,,5900
1999,2529,4153,,6682
2000,2585,5308,,7893
2001,2870,5028,,7898
2002,2239,6839,,9078
2003,3611,7526,,11137
2004,3309,8018,1,11328
2005,2583,9410,,11993
2006,2455,11370,19,13844
2007,3163,11645,38,14846
2008,2965,11999,64,15028
2009,4096,14125,417,18638
2010,3344,10541,5122,19007
2011,3743,10846,2343,16932
2012,3933,12187,3015,19135
2013,3009,13612,8312,24933
2014,3522,10383,12383,26288
2015,3020,8049,10972,22041
2016,2261,5213,11533,19007
2017,1762,2704,7379,11845
